Star	RAJ2000	DEJ2000
ET0009 	01 00 54.18	-33 40 14.60
ET0013 	01 00 50.24	-33 36 38.20
ET0024 	01 00 34.04	-33 39 04.61
ET0026 	01 00 12.76	-33 41 16.00
ET0027 	01 00 15.37	-33 39 06.20
ET0028 	01 00 17.77	-33 35 59.71
ET0031 	01 00 07.57	-33 37 03.89
ET0033 	01 00 20.29	-33 35 34.51
ET0035 	01 00 25.78	-33 30 25.41
ET0039 	01 00 26.19	-33 31 38.79
ET0043 	01 00 13.95	-33 36 39.20
ET0048 	00 59 55.63	-33 33 24.61
ET0051 	00 59 46.41	-33 41 23.50
ET0054 	00 59 56.60	-33 36 41.70
ET0057 	00 59 54.21	-33 40 27.20
ET0059 	00 59 38.11	-33 35 08.00
ET0060 	00 59 37.74	-33 35 59.99
ET0062 	00 59 47.21	-33 33 36.90
ET0063 	00 59 37.22	-33 37 10.50
ET0064 	00 59 41.40	-33 38 47.00
ET0066 	01 00 03.60	-33 39 27.10
ET0067 	00 59 37.00	-33 30 28.40
ET0069 	00 59 40.46	-33 35 53.80
ET0071 	00 59 58.27	-33 41 08.70
ET0073 	00 59 53.99	-33 37 42.10
ET0083 	00 59 11.83	-33 41 25.30
ET0094 	00 59 20.65	-33 48 56.60
ET0095 	00 59 20.80	-33 44 04.79
ET0097 	00 59 12.09	-33 46 20.80
ET0103 	00 59 18.85	-33 42 17.31
ET0104 	00 59 15.14	-33 42 54.60
ET0109 	00 59 28.29	-33 42 07.20
ET0113 	00 59 55.68	-33 46 40.10
ET0121 	01 00 00.49	-33 49 35.80
ET0126 	00 59 42.57	-33 42 18.10
ET0132 	00 59 58.24	-33 45 50.80
ET0133 	00 59 47.67	-33 47 29.50
ET0137 	01 00 25.30	-33 50 50.79
ET0138 	01 00 38.12	-33 48 16.90
ET0139 	01 00 42.50	-33 44 23.50
ET0141 	01 00 23.84	-33 42 17.40
ET0147 	01 00 44.27	-33 49 18.80
ET0150 	01 00 22.98	-33 43 02.20
ET0151 	01 00 18.29	-33 42 12.20
ET0158 	01 00 18.96	-33 45 14.80
ET0160 	01 00 22.33	-33 50 24.00
ET0163 	01 00 24.63	-33 44 28.89
ET0164 	01 00 33.86	-33 44 54.40
ET0165 	01 00 11.79	-33 42 16.89
ET0166 	01 00 10.49	-33 49 36.90
ET0168 	01 00 34.32	-33 49 52.90
ET0173 	01 00 50.87	-33 45 05.20
ET0198 	01 00 09.18	-33 36 09.40
ET0200 	01 00 14.81	-33 36 49.90
ET0202 	01 00 21.08	-33 33 46.40
ET0206 	01 00 10.38	-33 41 05.00
ET0232 	00 59 54.47	-33 37 53.40
ET0236 	00 59 30.44	-33 36 04.99
ET0237 	00 59 50.78	-33 31 47.10
ET0238 	00 59 57.60	-33 38 32.50
ET0239 	00 59 30.49	-33 39 04.00
ET0240 	00 59 58.31	-33 34 40.40
ET0241 	01 00 02.69	-33 30 25.30
ET0242 	01 00 02.23	-33 40 21.10
ET0244 	00 59 59.65	-33 39 31.89
ET0270 	00 59 11.33	-33 37 27.99
ET0275 	00 59 15.13	-33 39 43.80
ET0299 	00 59 08.60	-33 42 29.40
ET0300 	00 59 22.12	-33 49 03.70
ET0317 	00 59 49.91	-33 44 05.00
ET0320 	00 59 45.31	-33 43 53.79
ET0321 	01 00 06.98	-33 47 09.69
ET0322 	01 00 05.93	-33 45 56.50
ET0327 	00 59 37.56	-33 43 33.50
ET0330 	01 00 04.16	-33 43 32.40
ET0339 	00 59 44.90	-33 44 35.10
ET0342 	00 59 35.02	-33 50 55.90
ET0350 	00 59 41.95	-33 45 03.69
ET0354 	00 59 55.87	-33 45 43.70
ET0363 	00 59 53.08	-33 43 58.50
ET0369 	01 00 11.73	-33 44 50.40
ET0373 	01 00 17.36	-33 43 59.60
ET0376 	01 00 15.18	-33 43 11.00
ET0378 	01 00 21.17	-33 46 01.30
ET0379 	01 00 14.58	-33 47 11.60
ET0382 	01 00 17.60	-33 46 55.21
ET0384 	01 00 26.29	-33 44 45.70
ET0389 	01 00 12.52	-33 43 01.31
ET0392 	01 00 25.04	-33 42 28.10
UET0049	00 59 27.68	-33 40 35.50
UET0065	01 00 02.30	-33 38 52.60
UET0074	00 59 42.55	-33 38 16.90
UET0082	00 59 14.55	-33 40 39.80
UET0112	00 59 52.27	-33 44 54.80
UET0127	01 00 00.24	-33 44 47.90
UET0130	01 00 02.56	-33 48 50.00
UET0143	01 00 14.83	-33 44 22.20
UET0145	01 00 20.75	-33 47 11.10
UET0152	01 00 25.10	-33 43 53.10
ET0136 	01 00 16.29	-33 42 37.21
ET0167 	01 00 10.43	-33 51 00.50
ET0315 	00 59 47.05	-33 42 54.21
ET0041 	01 00 14.69	-33 39 57.79
ET0185 	01 01 02.01	-33 39 28.80
ET0360 	00 59 51.53	-33 44 02.71
ET0370 	01 00 46.52	-33 46 47.10
ET0371 	01 00 42.96	-33 47 06.40
ET0380 	01 00 46.21	-33 42 33.90
ET0381 	01 00 12.94	-33 42 03.81
ET0092 	00 59 04.83	-33 42 54.60
ET0001 	01 00 49.84	-33 39 30.30
ET0002 	01 01 00.17	-33 37 15.80
ET0004 	01 00 54.66	-33 40 47.00
ET0015 	01 00 51.65	-33 36 56.70
ET0021 	01 00 27.85	-33 40 31.80
ET0032 	01 00 16.06	-33 32 27.70
ET0084 	00 59 19.15	-33 38 50.80
ET0115 	00 59 57.53	-33 48 54.20
ET0124 	00 59 39.49	-33 45 39.30
ET0125 	00 59 35.11	-33 51 22.70
ET0134 	01 00 38.07	-33 42 02.90
