Star   [Fe/H] [Fe/H]err   [O1/Fe] [O1/Fe]err  [Na/Fe] [Na/Fe]err  [Mg/Fe] [Mg/Fe]err  [Si/Fe] [Si/Fe]err  [Ca/Fe] [Ca/Fe]err  [Ti1/Fe] [Ti1/Fe]err [Ti2/Fe] [Ti2/Fe]err [Sc/Fe] [Sc/Fe]err [Fe2/Fe] [Fe2/Fe]err  [Cr/Fe] [Cr/Fe]err [Ni/Fe] [Ni/Fe]err  [Co/Fe] [Co/Fe]err  [Zn/Fe] [Zn/Fe]err  [Y/Fe] [Y/Fe]err  [Ba/Fe] [Ba/Fe]err  [La/Fe] [La/Fe]err  [Nd/Fe] [Nd/Fe]err  [Eu/Fe] [Eu/Fe]err
ET0009  -1.68  0.16 -99.00  9.90 -99.00  9.90   0.57  0.22 -99.00  9.90   0.20  0.07   0.02  0.11   0.10  0.26 -99.00  9.90   0.06  0.28  -0.09  0.15  -0.02  0.15   0.10  0.18 -99.00  9.90 -99.00  9.90  -0.22  0.22   0.15  0.22 -99.00  9.90   0.31  0.28
ET0013  -1.68  0.21 -99.00  9.90 -99.00  9.90   0.53  0.27 -99.00  9.90   0.28  0.10   0.09  0.18   0.67  0.29 -99.00  9.90   0.13  0.35  -0.07  0.18 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.29  0.32 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0024  -1.24  0.10  -0.10  0.20  -0.55  0.21 -99.00  9.90 -99.00  9.90   0.00  0.14  -0.05  0.14  -0.23  0.23  -0.61  0.22   0.17  0.29  -0.26  0.22  -0.39  0.13  -0.07  0.18 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.30  0.16 -99.00  9.90  -0.17  0.22
ET0026  -1.80  0.16 -99.00  9.90 -99.00  9.90   0.44  0.19 -99.00  9.90   0.07  0.06  -0.09  0.12   0.03  0.22 -99.00  9.90   0.07  0.25  -0.32  0.15  -0.07  0.19  -0.12  0.16 -99.00  9.90 -99.00  9.90  -0.24  0.21 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0027  -1.50  0.13 -99.00  9.90 -99.00  9.90   0.12  0.15 -99.00  9.90  -0.06  0.04  -0.22  0.14  -0.15  0.20  -0.48  0.21   0.06  0.25  -0.25  0.14  -0.18  0.10 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.19  0.19  -0.33  0.17 -99.00  9.90 -99.00  9.90
ET0028  -1.22  0.11 -99.00  9.90 -99.00  9.90  -0.09  0.14 -99.00  9.90   0.03  0.07  -0.18  0.14  -0.23  0.16  -0.69  0.19   0.06  0.28  -0.20  0.14  -0.19  0.09   0.02  0.14 -99.00  9.90 -99.00  9.90  -0.17  0.18  -0.29  0.15 -99.00  9.90 -99.00  9.90
ET0031  -1.68  0.17   0.26  0.23 -99.00  9.90   0.51  0.18 -99.00  9.90   0.22  0.06   0.19  0.09   0.16  0.23  -0.06  0.25   0.07  0.25  -0.06  0.13   0.06  0.16   0.07  0.15 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.23  0.23 -99.00  9.90   0.57  0.24
ET0033  -1.77  0.16   0.30  0.23 -99.00  9.90   0.27  0.15 -99.00  9.90   0.10  0.08  -0.13  0.11  -0.02  0.23 -99.00  9.90   0.07  0.29  -0.43  0.13   0.08  0.13  -0.23  0.14 -99.00  9.90 -99.00  9.90   0.11  0.20   0.23  0.24 -99.00  9.90 -99.00  9.90
ET0035  -1.95  0.23 -99.00  9.90 -99.00  9.90   0.77  0.31 -99.00  9.90   0.32  0.10   0.22  0.30  -0.11  0.31   0.03  0.41   0.10  0.33  -0.19  0.29 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.58  0.35 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0039  -2.10  0.25 -99.00  9.90 -99.00  9.90   0.52  0.30 -99.00  9.90   0.32  0.13 -99.00  9.90   0.11  0.29 -99.00  9.90   0.11  0.32  -0.29  0.30 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.59  0.40 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0043  -1.24  0.16  -0.08  0.24 -99.00  9.90  -0.20  0.19 -99.00  9.90   0.01  0.09  -0.26  0.11   0.02  0.22  -0.37  0.26   0.05  0.29  -0.14  0.14  -0.10  0.24 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.07  0.22  -0.17  0.20 -99.00  9.90   0.21  0.26
ET0048  -1.90  0.19 -99.00  9.90 -99.00  9.90   0.58  0.16 -99.00  9.90   0.25  0.07   0.09  0.14   0.12  0.23  -0.17  0.26   0.07  0.26  -0.24  0.17   0.34  0.14   0.02  0.14 -99.00  9.90 -99.00  9.90   0.13  0.21 -99.00  9.90 -99.00  9.90   0.52  0.25
ET0051  -0.92  0.12  -0.27  0.25 -99.00  9.90  -0.01  0.23  -0.14  0.24  -0.10  0.14  -0.34  0.17  -0.25  0.23  -0.59  0.26   0.12  0.31  -0.41  0.25  -0.36  0.16   0.06  0.21 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.40  0.18  -0.39  0.25   0.08  0.25
ET0054  -1.81  0.16 -99.00  9.90 -99.00  9.90   0.35  0.17 -99.00  9.90   0.16  0.06  -0.03  0.12   0.16  0.23  -0.08  0.25   0.07  0.26  -0.14  0.12   0.19  0.15  -0.03  0.15 -99.00  9.90 -99.00  9.90  -0.16  0.20 -99.00  9.90 -99.00  9.90   0.48  0.24
ET0057  -1.33  0.13 -99.00  9.90 -99.00  9.90   0.13  0.15 -99.00  9.90   0.03  0.09  -0.15  0.10  -0.09  0.17  -0.45  0.20   0.06  0.25  -0.18  0.15  -0.25  0.15  -0.12  0.13 -99.00  9.90 -99.00  9.90  -0.14  0.17  -0.13  0.15 -99.00  9.90   0.19  0.19
ET0059  -1.53  0.16 -99.00  9.90 -99.00  9.90   0.06  0.16 -99.00  9.90   0.01  0.06  -0.30  0.10  -0.30  0.21  -0.42  0.24   0.09  0.27  -0.12  0.13  -0.04  0.12  -0.18  0.14 -99.00  9.90 -99.00  9.90  -0.17  0.21  -0.20  0.19 -99.00  9.90   0.17  0.24
ET0060  -1.56  0.15 -99.00  9.90 -99.00  9.90   0.45  0.12 -99.00  9.90   0.23  0.07  -0.14  0.09   0.03  0.27 -99.00  9.90   0.05  0.25   0.16  0.22  -0.03  0.13  -0.12  0.10 -99.00  9.90 -99.00  9.90  -0.05  0.21  -0.26  0.21 -99.00  9.90   0.24  0.22
ET0062  -2.27  0.18 -99.00  9.90 -99.00  9.90   0.67  0.17 -99.00  9.90   0.39  0.07   0.28  0.34   0.30  0.26 -99.00  9.90   0.12  0.26  -0.15  0.26   0.51  0.17 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.31  0.22 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0063  -1.18  0.19 -99.00  9.90 -99.00  9.90   0.13  0.24 -99.00  9.90   0.00  0.10  -0.20  0.17  -0.30  0.23 -99.00  9.90   0.11  0.28  -0.21  0.26  -0.20  0.20  -0.02  0.22 -99.00  9.90 -99.00  9.90  -0.12  0.23  -0.35  0.24  -0.27  0.25   0.36  0.28
ET0064  -1.38  0.14 -99.00  9.90 -99.00  9.90   0.14  0.15 -99.00  9.90   0.07  0.06  -0.21  0.12  -0.08  0.19  -0.44  0.21   0.06  0.24  -0.09  0.13 -99.00  9.90  -0.14  0.12 -99.00  9.90 -99.00  9.90  -0.01  0.16  -0.14  0.16 -99.00  9.90   0.18  0.20
ET0066  -1.30  0.14 -99.00  9.90 -99.00  9.90   0.15  0.14 -99.00  9.90   0.00  0.07  -0.23  0.11  -0.28  0.18  -0.45  0.22   0.03  0.25  -0.23  0.13  -0.12  0.12  -0.40  0.14 -99.00  9.90 -99.00  9.90   0.00  0.22  -0.22  0.17 -99.00  9.90   0.05  0.21
ET0067  -1.65  0.16 -99.00  9.90 -99.00  9.90   0.28  0.17 -99.00  9.90   0.29  0.06   0.04  0.11   0.18  0.21 -99.00  9.90   0.04  0.26  -0.08  0.13  -0.06  0.13  -0.22  0.16 -99.00  9.90 -99.00  9.90   0.39  0.23   0.27  0.20   0.38  0.19   0.80  0.24
ET0069  -2.11  0.20 -99.00  9.90 -99.00  9.90   0.57  0.21 -99.00  9.90   0.34  0.09   0.36  0.19   0.10  0.24 -99.00  9.90   0.04  0.28  -0.18  0.22 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.07  0.26 -99.00  9.90 -99.00  9.90 -99.00  9.90
