Table 6
Net Stellar Yield Results of Selected Light and Neutron-capture Elements for Each Low-mass Model

El.	1 M_sun	1.25 M_sun	1.5 M_sun	2 M_sun	2.25 M_sun	2.5 M_sun	2.75 M_sun	3 M_sun	
He	8.56(-3)	2.08(-2)	3.16(-2)	6.76(-2)	8.48(-2)	8.22(-2)	8.25(-2)	7.63(-2)	
C	1.92(-4)	1.57(-3)	4.94(-3)	1.65(-2)	2.22(-2)	2.34(-2)	2.53(-2)	2.44(-2)	
N	1.95(-5)	5.11(-5)	8.09(-5)	1.49(-4)	1.72(-4)	1.69(-4)	1.85(-4)	2.34(-4)	
O	3.59(-6)	6.82(-5)	2.16(-4)	5.34(-4)	6.32(-4)	6.34(-4)	5.17(-4)	4.71(-4)	
F	5.63(-9)	1.86(-7)	7.27(-7)	3.77(-6)	6.40(-6)	7.52(-6)	6.56(-6)	4.00(-6)	
Ne	5.05(-6)	1.41(-4)	5.56(-4)	2.45(-3)	3.64(-3)	4.03(-3)	2.99(-3)	2.01(-3)	
Na	1.37(-7)	1.49(-6)	6.52(-6)	3.65(-5)	5.24(-5)	4.29(-5)	2.64(-5)	2.09(-5)	
Mg	-2.17(-8)	1.33(-6)	6.49(-6)	3.86(-5)	6.92(-5)	1.18(-4)	1.44(-4)	1.77(-4)	
Al	6.74(-8)	1.80(-7)	3.75(-7)	1.36(-6)	2.68(-6)	6.14(-6)	7.46(-6)	6.56(-6)	
Si	1.22(-8)	7.36(-8)	1.82(-7)	5.84(-7)	1.16(-6)	3.46(-6)	5.99(-6)	9.09(-6)	
Rb	2.69(-11)	5.76(-10)	2.51(-9)	6.89(-9)	1.40(-8)	3.41(-8)	2.62(-8)	2.41(-8)	
Sr	5.51(-10)	6.55(-9)	2.68(-8)	8.65(-8)	1.25(-7)	1.37(-7)	8.33(-8)	5.44(-8)	
Y	1.15(-10)	1.65(-9)	6.29(-9)	2.24(-8)	3.36(-8)	4.02(-8)	2.52(-8)	1.55(-8)	
Zr	2.33(-10)	4.64(-9)	1.65(-8)	6.23(-8)	9.57(-8)	1.19(-7)	8.14(-8)	5.41(-8)	
Ba	1.35(-10)	9.32(-9)	3.09(-8)	1.32(-7)	2.02(-7)	2.23(-7)	1.34(-7)	8.69(-8)	
La	1.44(-11)	9.23(-10)	3.14(-9)	1.35(-8)	2.07(-8)	2.28(-8)	1.30(-8)	7.81(-9)	
Ce	5.85(-11)	2.87(-9)	1.04(-8)	4.49(-8)	7.03(-8)	8.00(-8)	4.80(-8)	2.94(-8)	
Pb	4.69(-9)	1.19(-7)	4.14(-7)	1.27(-6)	1.65(-6)	1.64(-6)	1.27(-6)	9.11(-7)	

Note. Yields are in solar masses and are expressed in the form n(m) = n  x  10m.
