Table 7
Net Stellar Yield Results of Selected Light and Neutron-capture Elements for Each Intermediate-mass Model

El.	3.25 M_sun	3.5 M_sun	4 M_sun	4.5 M_sun	5 M_sun	5.5 M_sun	6 M_sun	7 M_sun	
He	6.89(-2)	1.01(-1)	2.66(-1)	3.57(-1)	4.39(-1)	5.01(-1)	5.48(-1)	6.06(-1)	
C	1.95(-2)	1.56(-2)	2.39(-3)	3.04(-3)	2.63(-3)	1.80(-3)	1.74(-3)	2.56(-4)	
N	1.24(-3)	8.53(-3)	5.94(-2)	5.61(-2)	5.22(-2)	4.33(-2)	3.29(-2)	1.26(-2)	
O	2.19(-4)	2.99(-4)	3.09(-4)	-2.62(-4)	-8.28(-4)	-1.24(-3)	-1.61(-3)	-2.20(-3)	
F	1.27(-6)	1.28(-6)	1.45(-7)	7.97(-8)	-4.54(-9)	-6.43(-8)	-1.02(-7)	-1.41(-7)	
Ne	6.58(-4)	6.77(-4)	2.93(-3)	2.21(-3)	1.64(-3)	9.32(-4)	4.84(-4)	5.81(-5)	
Na	1.04(-5)	1.26(-5)	7.57(-5)	5.94(-5)	3.86(-5)	1.64(-5)	3.65(-6)	-8.63(-6)	
Mg	9.45(-5)	1.02(-4)	7.53(-4)	6.56(-4)	4.47(-4)	2.75(-4)	1.39(-4)	-6.84(-5)	
Al	3.14(-6)	3.15(-6)	4.01(-5)	4.88(-5)	5.86(-5)	6.89(-5)	8.55(-5)	7.00(-5)	
Si	6.73(-6)	7.63(-6)	3.37(-5)	3.19(-5)	2.68(-5)	2.22(-5)	2.57(-5)	7.73(-5)	
Rb	1.48(-8)	1.72(-8)	1.53(-7)	1.64(-7)	1.38(-7)	1.12(-7)	8.50(-8)	2.41(-8)	
Sr	1.72(-8)	2.05(-8)	2.20(-7)	2.38(-7)	2.04(-7)	1.67(-7)	1.22(-7)	3.06(-8)	
Y	2.96(-9)	3.56(-9)	4.40(-8)	4.85(-8)	4.05(-8)	3.38(-8)	2.40(-8)	5.79(-9)	
Zr	5.23(-9)	6.28(-9)	8.99(-8)	1.01(-7)	8.27(-8)	6.93(-8)	4.78(-8)	1.09(-8)	
Ba	7.75(-10)	9.17(-10)	2.01(-8)	2.28(-8)	1.78(-8)	1.50(-8)	9.15(-9)	1.77(-9)	
La	3.26(-11)	4.03(-11)	1.06(-9)	1.17(-9)	8.93(-10)	7.55(-10)	4.46(-10)	8.11(-11)	
Ce	7.83(-11)	9.41(-11)	2.41(-9)	2.71(-9)	2.01(-9)	1.68(-9)	9.64(-10)	1.75(-10)	
Pb	1.60(-10)	1.79(-10)	2.51(-9)	2.90(-9)	2.27(-9)	1.82(-9)	9.65(-10)	1.72(-10)	

Note. Yields are in solar masses and are expressed in the form n(m) = n  x  10m.
