# Table 9 
# Nucleosynthesis Yield for the Pure Turbulent Deflagration Models Presented in This Article
# Note. The isotope masses are in units of solar mass.

Isotopes	050-1-c3-1P	100-1-c3-1P	300-1-c3-1P	500-1-c3-1P	
^12C	4.72e-1	4.34e-1	3.65e-1	3.21e-1	
^13C	3.38e-11	2.11e-11	1.34e-11	2.56e-12	
^14N	3.79e-9	1.67e-9	1.15e-9	2.67e-10	
^15N	7.15e-10	6.51e-10	5.5e-10	6.53e-11	
^16O	4.98e-1	4.63e-1	3.94e-1	3.47e-1	
^17O	1.51e-9	5.28e-10	3.40e-10	8.94e-11	
^18O	4.61e-11	1.43e-11	1.10e-11	1.36e-12	
^19F	9.3e-12	8.40e-12	7.24e-12	1.62e-12	
^20Ne	1.29e-3	2.35e-3	2.20e-3	8.47e-4	
^21Ne	4.6e-8	7.44e-8	6.70e-8	2.26e-8	
^22Ne	1.92e-2	1.77e-2	1.49e-2	1.31e-2	
^23Na	3.84e-6	6.4e-6	6.27e-6	1.66e-6	
^24Mg	2.36e-3	3.9e-3	3.22e-3	2.64e-3	
^25Mg	1.6e-5	1.48e-5	1.55e-5	7.40e-6	
^26Mg	1.16e-5	1.87e-5	1.84e-5	6.89e-6	
^26Al	2.22e-6	3.64e-6	3.54e-6	1.51e-6	
^27Al	1.72e-4	2.24e-4	2.36e-4	1.97e-4	
^28Si	3.57e-2	3.82e-2	3.46e-2	3.23e-2	
^29Si	2.27e-4	2.84e-4	2.86e-4	2.27e-4	
^30Si	3.72e-4	4.42e-4	4.61e-4	4.33e-4	
^31P	9.51e-5	1.9e-4	1.11e-4	1.0e-4	
^32S	1.50e-2	1.57e-2	1.37e-2	1.30e-2	
^33S	8.11e-5	8.77e-5	8.12e-5	7.87e-5	
^34S	6.96e-4	7.29e-4	6.47e-4	5.82e-4	
^36S	3.14e-8	3.48e-8	3.56e-8	3.73e-8	
^35Cl	3.69e-5	3.77e-5	3.76e-5	2.95e-5	
^37Cl	7.35e-6	7.27e-6	5.48e-6	5.48e-6	
^36Ar	2.26e-3	2.36e-3	1.98e-3	1.95e-3	
^38Ar	4.20e-4	3.94e-4	2.87e-4	2.53e-4	
^40Ar	4.38e-10	4.86e-10	5.44e-10	5.64e-10	
^39K	2.63e-5	2.50e-5	1.82e-5	1.78e-5	
^40K	9.23e-9	9.67e-9	1.17e-8	8.56e-9	
^41K	8.41e-10	8.92e-10	8.6e-10	8.12e-10	
^40Ca	1.71e-3	1.82e-3	1.50e-3	1.50e-3	
^42Ca	1.19e-5	1.12e-5	7.54e-6	7.2e-6	
^43Ca	1.95e-8	2.5e-8	2.5e-8	1.91e-8	
^44Ca	1.24e-7	1.42e-7	1.37e-7	1.47e-7	
^46Ca	6.72e-12	6.56e-12	1.69e-11	3.43e-9	
^48Ca	4.2e-17	3.32e-17	5.59e-14	5.8e-10	
^45Sc	4.20e-8	4.41e-8	3.52e-8	4.18e-8	
^46Ti	4.66e-6	4.56e-6	3.4e-6	3.36e-6	
^47Ti	9.66e-8	1.4e-7	9.88e-8	1.2e-7	
^48Ti	2.54e-5	3.11e-5	3.29e-5	3.84e-5	
^49Ti	1.94e-6	2.88e-6	4.13e-6	5.75e-6	
^50Ti	5.81e-11	6.9e-11	3.58e-6	5.25e-4	
^50V	4.3e-10	4.21e-10	1.53e-8	6.55e-8	
^51V	7.38e-6	1.41e-5	3.87e-5	2.33e-4	
^50Cr	3.36e-5	7.1e-5	1.84e-4	2.26e-4	
^52Cr	7.53e-4	1.11e-3	4.46e-3	1.20e-2	
^53Cr	7.87e-10	1.78e-9	3.50e-5	5.7e-4	
^54Cr	7.88e-9	4.64e-8	9.16e-5	4.84e-3	
^55Mn	1.69e-3	3.55e-3	8.21e-3	1.15e-2	
^54Fe	1.22e-2	3.77e-2	9.27e-2	1.9e-1	
^56Fe	2.10e-1	2.65e-1	3.55e-1	4.2e-1	
^57Fe	6.27e-3	8.65e-3	1.19e-2	1.36e-2	
^58Fe	2.21e-9	1.62e-7	5.54e-4	1.43e-2	
^60Fe	2.63e-19	3.28e-19	2.41e-9	8.28e-7	
^59Co	8.62e-9	6.65e-8	6.15e-5	3.21e-4	
^58Ni	1.64e-2	3.0e-2	5.21e-2	5.79e-2	
^60Ni	6.52e-4	9.51e-4	6.17e-3	8.16e-3	
^61Ni	2.35e-5	2.59e-5	4.37e-5	8.26e-5	
^62Ni	2.10e-4	2.22e-4	5.73e-4	4.38e-3	
^64Ni	8.64e-17	3.36e-14	1.62e-7	2.56e-5	
^63Cu	1.24e-7	1.36e-7	3.27e-7	6.91e-7	
^65Cu	5.84e-8	6.52e-8	8.75e-8	4.22e-7	
^64Zn	4.36e-7	4.96e-7	6.73e-7	6.78e-7	
^66Zn	1.3e-6	1.10e-6	1.20e-6	1.22e-6	
^67Zn	5.54e-10	6.12e-10	7.14e-10	1.60e-9	
^68Zn	2.17e-10	2.41e-10	5.27e-10	1.53e-8	
^70Zn	9.84e-23	9.85e-24	4.16e-15	4.2e-12	
